galles163:/usr/local/hadoop> bin/hadoop jar /users/waybrd/docmapper.jar /users/waybrd/abstracts /users/waybrd/out
14/10/04 22:33:11 WARN mapred.JobClient: Use GenericOptionsParser for parsing the arguments. Applications should implement Tool for the same.
14/10/04 22:33:11 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/10/04 22:33:11 WARN snappy.LoadSnappy: Snappy native library not loaded
14/10/04 22:33:12 INFO mapred.FileInputFormat: Total input paths to process : 41116
14/10/04 23:24:38 INFO mapred.JobClient:     HDFS_BYTES_READ=9981259
14/10/04 23:24:38 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=2222445814
14/10/04 23:24:38 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=337082
14/10/04 23:24:38 INFO mapred.JobClient:   Map-Reduce Framework
14/10/04 23:24:38 INFO mapred.JobClient:     Map output materialized bytes=10578449
14/10/04 23:24:38 INFO mapred.JobClient:     Map input records=41115
14/10/04 23:24:38 INFO mapred.JobClient:     Reduce shuffle bytes=10578449
14/10/04 23:24:38 INFO mapred.JobClient:     Spilled Records=1650695
14/10/04 23:24:38 INFO mapred.JobClient:     Map output bytes=9185992
14/10/04 23:24:38 INFO mapred.JobClient:     Total committed heap usage (bytes)=6157849395200
14/10/04 23:24:38 INFO mapred.JobClient:     CPU time spent (ms)=9547080
14/10/04 23:24:38 INFO mapred.JobClient:     Map input bytes=5551837
14/10/04 23:24:38 INFO mapred.JobClient:     SPLIT_RAW_BYTES=4429422
14/10/04 23:24:38 INFO mapred.JobClient:     Combine input records=0
14/10/04 23:24:38 INFO mapred.JobClient:     Reduce input records=572878
14/10/04 23:24:38 INFO mapred.JobClient:     Reduce input groups=33035
14/10/04 23:24:38 INFO mapred.JobClient:     Combine output records=0
14/10/04 23:24:38 INFO mapred.JobClient:     Physical memory (bytes) snapshot=7712343117824
14/10/04 23:24:38 INFO mapred.JobClient:     Reduce output records=33035
14/10/04 23:24:38 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=40437385007104
14/10/04 23:24:38 INFO mapred.JobClient:     Map output records=572878
